task_id,problem,language,branching_factor,max_programs,beam_width,debug_prompt_id,log
72,indices-of-substring,Python,16,100,16,0,INFO
73,leaders,C++,2,100,2,0,INFO
74,leaders,C++,4,100,4,0,INFO
75,leaders,C++,16,100,16,0,INFO
76,leaders,Python,2,100,2,0,INFO
77,leaders,Python,4,100,4,0,INFO
78,leaders,Python,16,100,16,0,INFO
79,luhn,C++,2,100,2,0,INFO
80,luhn,C++,4,100,4,0,INFO
81,luhn,C++,16,100,16,0,INFO
82,luhn,Python,2,100,2,0,INFO
83,luhn,Python,4,100,4,0,INFO
84,luhn,Python,16,100,16,0,INFO
85,mastermind,C++,2,100,2,0,INFO
86,mastermind,C++,4,100,4,0,INFO
87,mastermind,C++,16,100,16,0,INFO
88,mastermind,Python,2,100,2,0,INFO
89,mastermind,Python,4,100,4,0,INFO
90,mastermind,Python,16,100,16,0,INFO
91,middle-character,C++,2,100,2,0,INFO
92,middle-character,C++,4,100,4,0,INFO
93,middle-character,C++,16,100,16,0,INFO
94,middle-character,Python,2,100,2,0,INFO
95,middle-character,Python,4,100,4,0,INFO
96,middle-character,Python,16,100,16,0,INFO
97,paired-digits,C++,2,100,2,0,INFO
98,paired-digits,C++,4,100,4,0,INFO
99,paired-digits,C++,16,100,16,0,INFO
100,paired-digits,Python,2,100,2,0,INFO
101,paired-digits,Python,4,100,4,0,INFO
102,paired-digits,Python,16,100,16,0,INFO
103,shopping-list,C++,2,100,2,0,INFO
104,shopping-list,C++,4,100,4,0,INFO
105,shopping-list,C++,16,100,16,0,INFO
106,shopping-list,Python,2,100,2,0,INFO
107,shopping-list,Python,4,100,4,0,INFO
108,shopping-list,Python,16,100,16,0,INFO
109,snow-day,C++,2,100,2,0,INFO
110,snow-day,C++,4,100,4,0,INFO
111,snow-day,C++,16,100,16,0,INFO
112,snow-day,Python,2,100,2,0,INFO
113,snow-day,Python,4,100,4,0,INFO
114,snow-day,Python,16,100,16,0,INFO
115,solve-boolean,C++,2,100,2,0,INFO
116,solve-boolean,C++,4,100,4,0,INFO
117,solve-boolean,C++,16,100,16,0,INFO
118,solve-boolean,Python,2,100,2,0,INFO
119,solve-boolean,Python,4,100,4,0,INFO
120,solve-boolean,Python,16,100,16,0,INFO
121,spin-words,C++,2,100,2,0,INFO
122,spin-words,C++,4,100,4,0,INFO
123,spin-words,C++,16,100,16,0,INFO
124,spin-words,Python,2,100,2,0,INFO
125,spin-words,Python,4,100,4,0,INFO
126,spin-words,Python,16,100,16,0,INFO
127,square-digits,C++,2,100,2,0,INFO
128,square-digits,C++,4,100,4,0,INFO
129,square-digits,C++,16,100,16,0,INFO
130,square-digits,Python,2,100,2,0,INFO
131,square-digits,Python,4,100,4,0,INFO
132,square-digits,Python,16,100,16,0,INFO
133,substitution-cipher,C++,2,100,2,0,INFO
134,substitution-cipher,C++,4,100,4,0,INFO
135,substitution-cipher,C++,16,100,16,0,INFO
136,substitution-cipher,Python,2,100,2,0,INFO
137,substitution-cipher,Python,4,100,4,0,INFO
138,substitution-cipher,Python,16,100,16,0,INFO
139,twitter,C++,2,100,2,0,INFO
140,twitter,C++,4,100,4,0,INFO
141,twitter,C++,16,100,16,0,INFO
142,twitter,Python,2,100,2,0,INFO
143,twitter,Python,4,100,4,0,INFO
144,twitter,Python,16,100,16,0,INFO
145,vector-distance,C++,2,100,2,0,INFO
146,vector-distance,C++,4,100,4,0,INFO
147,vector-distance,C++,16,100,16,0,INFO
148,vector-distance,Python,2,100,2,0,INFO
149,vector-distance,Python,4,100,4,0,INFO
150,vector-distance,Python,16,100,16,0,INFO
