,problem,language,branching_factor,max_programs,beam_width,debug_prompt_id,batch_size
137,shopping-list,C++,10,1000,10,0,10
138,shopping-list,C++,100,1000,100,0,10
139,shopping-list,C++,1000,1000,1000,0,10
140,shopping-list,Python,1,1000,1,0,10
141,shopping-list,Python,10,1000,10,0,10
142,shopping-list,Python,100,1000,100,0,10
143,shopping-list,Python,1000,1000,1000,0,10
144,snow-day,C++,1,1000,1,0,10
145,snow-day,C++,10,1000,10,0,10
146,snow-day,C++,100,1000,100,0,10
147,snow-day,C++,1000,1000,1000,0,10
148,snow-day,Python,1,1000,1,0,10
149,snow-day,Python,10,1000,10,0,10
150,snow-day,Python,100,1000,100,0,10
151,snow-day,Python,1000,1000,1000,0,10
152,solve-boolean,C++,1,1000,1,0,10
153,solve-boolean,C++,10,1000,10,0,10
154,solve-boolean,C++,100,1000,100,0,10
155,solve-boolean,C++,1000,1000,1000,0,10
156,solve-boolean,Python,1,1000,1,0,10
157,solve-boolean,Python,10,1000,10,0,10
158,solve-boolean,Python,100,1000,100,0,10
159,solve-boolean,Python,1000,1000,1000,0,10
160,spin-words,C++,1,1000,1,0,10
161,spin-words,C++,10,1000,10,0,10
162,spin-words,C++,100,1000,100,0,10
163,spin-words,C++,1000,1000,1000,0,10
164,spin-words,Python,1,1000,1,0,10
165,spin-words,Python,10,1000,10,0,10
166,spin-words,Python,100,1000,100,0,10
167,spin-words,Python,1000,1000,1000,0,10
168,square-digits,C++,1,1000,1,0,10
169,square-digits,C++,10,1000,10,0,10
170,square-digits,C++,100,1000,100,0,10
171,square-digits,C++,1000,1000,1000,0,10
172,square-digits,Python,1,1000,1,0,10
173,square-digits,Python,10,1000,10,0,10
174,square-digits,Python,100,1000,100,0,10
175,square-digits,Python,1000,1000,1000,0,10
176,substitution-cipher,C++,1,1000,1,0,10
177,substitution-cipher,C++,10,1000,10,0,10
178,substitution-cipher,C++,100,1000,100,0,10
179,substitution-cipher,C++,1000,1000,1000,0,10
180,substitution-cipher,Python,1,1000,1,0,10
181,substitution-cipher,Python,10,1000,10,0,10
182,substitution-cipher,Python,100,1000,100,0,10
183,substitution-cipher,Python,1000,1000,1000,0,10
184,twitter,C++,1,1000,1,0,10
185,twitter,C++,10,1000,10,0,10
186,twitter,C++,100,1000,100,0,10
187,twitter,C++,1000,1000,1000,0,10
188,twitter,Python,1,1000,1,0,10
189,twitter,Python,10,1000,10,0,10
190,twitter,Python,100,1000,100,0,10
191,twitter,Python,1000,1000,1000,0,10
192,vector-distance,C++,1,1000,1,0,10
193,vector-distance,C++,10,1000,10,0,10
194,vector-distance,C++,100,1000,100,0,10
195,vector-distance,C++,1000,1000,1000,0,10
196,vector-distance,Python,1,1000,1,0,10
197,vector-distance,Python,10,1000,10,0,10
198,vector-distance,Python,100,1000,100,0,10
199,vector-distance,Python,1000,1000,1000,0,10
200,basement,C++,1,1000,1,0,10
201,bouncing-balls,C++,1,1000,1,0,10
202,bowling,C++,1,1000,1,0,10
203,camel-case,C++,1,1000,1,0,10
204,coin-sums,C++,1,1000,1,0,10
205,cut-vector,C++,1,1000,1,0,10
206,dice-game,C++,1,1000,1,0,10
207,find-pair,C++,1,1000,1,0,10
208,fizz-buzz,C++,1,1000,1,0,10
209,fuel-cost,C++,1,1000,1,0,10
210,gcd,C++,1,1000,1,0,10
211,indices-of-substring,C++,1,1000,1,0,10
212,leaders,C++,1,1000,1,0,10
213,luhn,C++,1,1000,1,0,10
214,mastermind,C++,1,1000,1,0,10
215,middle-character,C++,1,1000,1,0,10
216,paired-digits,C++,1,1000,1,0,10
217,shopping-list,C++,1,1000,1,0,10
218,snow-day,C++,1,1000,1,0,10
219,solve-boolean,C++,1,1000,1,0,10
220,spin-words,C++,1,1000,1,0,10
221,square-digits,C++,1,1000,1,0,10
222,substitution-cipher,C++,1,1000,1,0,10
223,twitter,C++,1,1000,1,0,10
224,vector-distance,C++,1,1000,1,0,10
225,basement,Python,1,1000,1,0,10
226,bouncing-balls,Python,1,1000,1,0,10
227,bowling,Python,1,1000,1,0,10
228,camel-case,Python,1,1000,1,0,10
229,coin-sums,Python,1,1000,1,0,10
230,cut-vector,Python,1,1000,1,0,10
231,dice-game,Python,1,1000,1,0,10
232,find-pair,Python,1,1000,1,0,10
233,fizz-buzz,Python,1,1000,1,0,10
234,fuel-cost,Python,1,1000,1,0,10
235,gcd,Python,1,1000,1,0,10
236,indices-of-substring,Python,1,1000,1,0,10
237,leaders,Python,1,1000,1,0,10
238,luhn,Python,1,1000,1,0,10
239,mastermind,Python,1,1000,1,0,10
240,middle-character,Python,1,1000,1,0,10
241,paired-digits,Python,1,1000,1,0,10
242,shopping-list,Python,1,1000,1,0,10
243,snow-day,Python,1,1000,1,0,10
244,solve-boolean,Python,1,1000,1,0,10
245,spin-words,Python,1,1000,1,0,10
246,square-digits,Python,1,1000,1,0,10
247,substitution-cipher,Python,1,1000,1,0,10
248,twitter,Python,1,1000,1,0,10
249,vector-distance,Python,1,1000,1,0,10
250,basement,C++,1,1000,1,1,10
251,bouncing-balls,C++,1,1000,1,1,10
252,bowling,C++,1,1000,1,1,10
253,camel-case,C++,1,1000,1,1,10
254,coin-sums,C++,1,1000,1,1,10
255,cut-vector,C++,1,1000,1,1,10
256,dice-game,C++,1,1000,1,1,10
257,find-pair,C++,1,1000,1,1,10
258,fizz-buzz,C++,1,1000,1,1,10
259,fuel-cost,C++,1,1000,1,1,10
260,gcd,C++,1,1000,1,1,10
261,indices-of-substring,C++,1,1000,1,1,10
262,leaders,C++,1,1000,1,1,10
263,luhn,C++,1,1000,1,1,10
264,mastermind,C++,1,1000,1,1,10
265,middle-character,C++,1,1000,1,1,10
266,paired-digits,C++,1,1000,1,1,10
267,shopping-list,C++,1,1000,1,1,10
268,snow-day,C++,1,1000,1,1,10
269,solve-boolean,C++,1,1000,1,1,10
270,spin-words,C++,1,1000,1,1,10
271,square-digits,C++,1,1000,1,1,10
272,substitution-cipher,C++,1,1000,1,1,10
273,twitter,C++,1,1000,1,1,10
274,vector-distance,C++,1,1000,1,1,10
275,basement,Python,1,1000,1,1,10
276,bouncing-balls,Python,1,1000,1,1,10
277,bowling,Python,1,1000,1,1,10
278,camel-case,Python,1,1000,1,1,10
279,coin-sums,Python,1,1000,1,1,10
280,cut-vector,Python,1,1000,1,1,10
281,dice-game,Python,1,1000,1,1,10
282,find-pair,Python,1,1000,1,1,10
283,fizz-buzz,Python,1,1000,1,1,10
284,fuel-cost,Python,1,1000,1,1,10
285,gcd,Python,1,1000,1,1,10
286,indices-of-substring,Python,1,1000,1,1,10
287,leaders,Python,1,1000,1,1,10
288,luhn,Python,1,1000,1,1,10
289,mastermind,Python,1,1000,1,1,10
290,middle-character,Python,1,1000,1,1,10
291,paired-digits,Python,1,1000,1,1,10
292,shopping-list,Python,1,1000,1,1,10
293,snow-day,Python,1,1000,1,1,10
294,solve-boolean,Python,1,1000,1,1,10
295,spin-words,Python,1,1000,1,1,10
296,square-digits,Python,1,1000,1,1,10
297,substitution-cipher,Python,1,1000,1,1,10
298,twitter,Python,1,1000,1,1,10
299,vector-distance,Python,1,1000,1,1,10
300,basement,C++,1,1000,1,2,10
301,bouncing-balls,C++,1,1000,1,2,10
302,bowling,C++,1,1000,1,2,10
303,camel-case,C++,1,1000,1,2,10
304,coin-sums,C++,1,1000,1,2,10
305,cut-vector,C++,1,1000,1,2,10
306,dice-game,C++,1,1000,1,2,10
307,find-pair,C++,1,1000,1,2,10
308,fizz-buzz,C++,1,1000,1,2,10
309,fuel-cost,C++,1,1000,1,2,10
310,gcd,C++,1,1000,1,2,10
311,indices-of-substring,C++,1,1000,1,2,10
312,leaders,C++,1,1000,1,2,10
313,luhn,C++,1,1000,1,2,10
314,mastermind,C++,1,1000,1,2,10
315,middle-character,C++,1,1000,1,2,10
316,paired-digits,C++,1,1000,1,2,10
317,shopping-list,C++,1,1000,1,2,10
318,snow-day,C++,1,1000,1,2,10
319,solve-boolean,C++,1,1000,1,2,10
320,spin-words,C++,1,1000,1,2,10
321,square-digits,C++,1,1000,1,2,10
322,substitution-cipher,C++,1,1000,1,2,10
323,twitter,C++,1,1000,1,2,10
324,vector-distance,C++,1,1000,1,2,10
325,basement,Python,1,1000,1,2,10
326,bouncing-balls,Python,1,1000,1,2,10
327,bowling,Python,1,1000,1,2,10
328,camel-case,Python,1,1000,1,2,10
329,coin-sums,Python,1,1000,1,2,10
330,cut-vector,Python,1,1000,1,2,10
331,dice-game,Python,1,1000,1,2,10
332,find-pair,Python,1,1000,1,2,10
333,fizz-buzz,Python,1,1000,1,2,10
334,fuel-cost,Python,1,1000,1,2,10
335,gcd,Python,1,1000,1,2,10
336,indices-of-substring,Python,1,1000,1,2,10
337,leaders,Python,1,1000,1,2,10
338,luhn,Python,1,1000,1,2,10
339,mastermind,Python,1,1000,1,2,10
340,middle-character,Python,1,1000,1,2,10
341,paired-digits,Python,1,1000,1,2,10
342,shopping-list,Python,1,1000,1,2,10
343,snow-day,Python,1,1000,1,2,10
344,solve-boolean,Python,1,1000,1,2,10
345,spin-words,Python,1,1000,1,2,10
346,square-digits,Python,1,1000,1,2,10
347,substitution-cipher,Python,1,1000,1,2,10
348,twitter,Python,1,1000,1,2,10
349,vector-distance,Python,1,1000,1,2,10
350,basement,C++,1,1000,1,3,10
351,bouncing-balls,C++,1,1000,1,3,10
352,bowling,C++,1,1000,1,3,10
353,camel-case,C++,1,1000,1,3,10
354,coin-sums,C++,1,1000,1,3,10
355,cut-vector,C++,1,1000,1,3,10
356,dice-game,C++,1,1000,1,3,10
357,find-pair,C++,1,1000,1,3,10
358,fizz-buzz,C++,1,1000,1,3,10
359,fuel-cost,C++,1,1000,1,3,10
360,gcd,C++,1,1000,1,3,10
361,indices-of-substring,C++,1,1000,1,3,10
362,leaders,C++,1,1000,1,3,10
363,luhn,C++,1,1000,1,3,10
364,mastermind,C++,1,1000,1,3,10
365,middle-character,C++,1,1000,1,3,10
366,paired-digits,C++,1,1000,1,3,10
367,shopping-list,C++,1,1000,1,3,10
368,snow-day,C++,1,1000,1,3,10
369,solve-boolean,C++,1,1000,1,3,10
370,spin-words,C++,1,1000,1,3,10
371,square-digits,C++,1,1000,1,3,10
372,substitution-cipher,C++,1,1000,1,3,10
373,twitter,C++,1,1000,1,3,10
374,vector-distance,C++,1,1000,1,3,10
375,basement,Python,1,1000,1,3,10
376,bouncing-balls,Python,1,1000,1,3,10
377,bowling,Python,1,1000,1,3,10
378,camel-case,Python,1,1000,1,3,10
379,coin-sums,Python,1,1000,1,3,10
380,cut-vector,Python,1,1000,1,3,10
381,dice-game,Python,1,1000,1,3,10
382,find-pair,Python,1,1000,1,3,10
383,fizz-buzz,Python,1,1000,1,3,10
384,fuel-cost,Python,1,1000,1,3,10
385,gcd,Python,1,1000,1,3,10
386,indices-of-substring,Python,1,1000,1,3,10
387,leaders,Python,1,1000,1,3,10
388,luhn,Python,1,1000,1,3,10
389,mastermind,Python,1,1000,1,3,10
390,middle-character,Python,1,1000,1,3,10
391,paired-digits,Python,1,1000,1,3,10
392,shopping-list,Python,1,1000,1,3,10
393,snow-day,Python,1,1000,1,3,10
394,solve-boolean,Python,1,1000,1,3,10
395,spin-words,Python,1,1000,1,3,10
396,square-digits,Python,1,1000,1,3,10
397,substitution-cipher,Python,1,1000,1,3,10
398,twitter,Python,1,1000,1,3,10
399,vector-distance,Python,1,1000,1,3,10
400,basement,C++,1,1000,1,4,10
401,bouncing-balls,C++,1,1000,1,4,10
402,bowling,C++,1,1000,1,4,10
403,camel-case,C++,1,1000,1,4,10
404,coin-sums,C++,1,1000,1,4,10
405,cut-vector,C++,1,1000,1,4,10
406,dice-game,C++,1,1000,1,4,10
407,find-pair,C++,1,1000,1,4,10
408,fizz-buzz,C++,1,1000,1,4,10
409,fuel-cost,C++,1,1000,1,4,10
410,gcd,C++,1,1000,1,4,10
411,indices-of-substring,C++,1,1000,1,4,10
412,leaders,C++,1,1000,1,4,10
413,luhn,C++,1,1000,1,4,10
414,mastermind,C++,1,1000,1,4,10
415,middle-character,C++,1,1000,1,4,10
416,paired-digits,C++,1,1000,1,4,10
417,shopping-list,C++,1,1000,1,4,10
418,snow-day,C++,1,1000,1,4,10
419,solve-boolean,C++,1,1000,1,4,10
420,spin-words,C++,1,1000,1,4,10
421,square-digits,C++,1,1000,1,4,10
422,substitution-cipher,C++,1,1000,1,4,10
423,twitter,C++,1,1000,1,4,10
424,vector-distance,C++,1,1000,1,4,10
425,basement,Python,1,1000,1,4,10
426,bouncing-balls,Python,1,1000,1,4,10
427,bowling,Python,1,1000,1,4,10
428,camel-case,Python,1,1000,1,4,10
429,coin-sums,Python,1,1000,1,4,10
430,cut-vector,Python,1,1000,1,4,10
431,dice-game,Python,1,1000,1,4,10
432,find-pair,Python,1,1000,1,4,10
433,fizz-buzz,Python,1,1000,1,4,10
434,fuel-cost,Python,1,1000,1,4,10
435,gcd,Python,1,1000,1,4,10
436,indices-of-substring,Python,1,1000,1,4,10
437,leaders,Python,1,1000,1,4,10
438,luhn,Python,1,1000,1,4,10
439,mastermind,Python,1,1000,1,4,10
440,middle-character,Python,1,1000,1,4,10
441,paired-digits,Python,1,1000,1,4,10
442,shopping-list,Python,1,1000,1,4,10
443,snow-day,Python,1,1000,1,4,10
444,solve-boolean,Python,1,1000,1,4,10
445,spin-words,Python,1,1000,1,4,10
446,square-digits,Python,1,1000,1,4,10
447,substitution-cipher,Python,1,1000,1,4,10
448,twitter,Python,1,1000,1,4,10
449,vector-distance,Python,1,1000,1,4,10
450,basement,C++,1,1000,1,5,10
451,bouncing-balls,C++,1,1000,1,5,10
452,bowling,C++,1,1000,1,5,10
453,camel-case,C++,1,1000,1,5,10
454,coin-sums,C++,1,1000,1,5,10
455,cut-vector,C++,1,1000,1,5,10
456,dice-game,C++,1,1000,1,5,10
457,find-pair,C++,1,1000,1,5,10
458,fizz-buzz,C++,1,1000,1,5,10
459,fuel-cost,C++,1,1000,1,5,10
460,gcd,C++,1,1000,1,5,10
461,indices-of-substring,C++,1,1000,1,5,10
462,leaders,C++,1,1000,1,5,10
463,luhn,C++,1,1000,1,5,10
464,mastermind,C++,1,1000,1,5,10
465,middle-character,C++,1,1000,1,5,10
466,paired-digits,C++,1,1000,1,5,10
467,shopping-list,C++,1,1000,1,5,10
468,snow-day,C++,1,1000,1,5,10
469,solve-boolean,C++,1,1000,1,5,10
470,spin-words,C++,1,1000,1,5,10
471,square-digits,C++,1,1000,1,5,10
472,substitution-cipher,C++,1,1000,1,5,10
473,twitter,C++,1,1000,1,5,10
474,vector-distance,C++,1,1000,1,5,10
475,basement,Python,1,1000,1,5,10
476,bouncing-balls,Python,1,1000,1,5,10
477,bowling,Python,1,1000,1,5,10
478,camel-case,Python,1,1000,1,5,10
479,coin-sums,Python,1,1000,1,5,10
480,cut-vector,Python,1,1000,1,5,10
481,dice-game,Python,1,1000,1,5,10
482,find-pair,Python,1,1000,1,5,10
483,fizz-buzz,Python,1,1000,1,5,10
484,fuel-cost,Python,1,1000,1,5,10
485,gcd,Python,1,1000,1,5,10
486,indices-of-substring,Python,1,1000,1,5,10
487,leaders,Python,1,1000,1,5,10
488,luhn,Python,1,1000,1,5,10
489,mastermind,Python,1,1000,1,5,10
490,middle-character,Python,1,1000,1,5,10
491,paired-digits,Python,1,1000,1,5,10
492,shopping-list,Python,1,1000,1,5,10
493,snow-day,Python,1,1000,1,5,10
494,solve-boolean,Python,1,1000,1,5,10
495,spin-words,Python,1,1000,1,5,10
496,square-digits,Python,1,1000,1,5,10
497,substitution-cipher,Python,1,1000,1,5,10
498,twitter,Python,1,1000,1,5,10
499,vector-distance,Python,1,1000,1,5,10
500,basement,C++,1,1000,1,6,10
501,bouncing-balls,C++,1,1000,1,6,10
502,bowling,C++,1,1000,1,6,10
503,camel-case,C++,1,1000,1,6,10
504,coin-sums,C++,1,1000,1,6,10
505,cut-vector,C++,1,1000,1,6,10
506,dice-game,C++,1,1000,1,6,10
507,find-pair,C++,1,1000,1,6,10
508,fizz-buzz,C++,1,1000,1,6,10
509,fuel-cost,C++,1,1000,1,6,10
510,gcd,C++,1,1000,1,6,10
511,indices-of-substring,C++,1,1000,1,6,10
512,leaders,C++,1,1000,1,6,10
513,luhn,C++,1,1000,1,6,10
514,mastermind,C++,1,1000,1,6,10
515,middle-character,C++,1,1000,1,6,10
516,paired-digits,C++,1,1000,1,6,10
517,shopping-list,C++,1,1000,1,6,10
518,snow-day,C++,1,1000,1,6,10
519,solve-boolean,C++,1,1000,1,6,10
520,spin-words,C++,1,1000,1,6,10
521,square-digits,C++,1,1000,1,6,10
522,substitution-cipher,C++,1,1000,1,6,10
523,twitter,C++,1,1000,1,6,10
524,vector-distance,C++,1,1000,1,6,10
525,basement,Python,1,1000,1,6,10
526,bouncing-balls,Python,1,1000,1,6,10
527,bowling,Python,1,1000,1,6,10
528,camel-case,Python,1,1000,1,6,10
529,coin-sums,Python,1,1000,1,6,10
530,cut-vector,Python,1,1000,1,6,10
531,dice-game,Python,1,1000,1,6,10
532,find-pair,Python,1,1000,1,6,10
533,fizz-buzz,Python,1,1000,1,6,10
534,fuel-cost,Python,1,1000,1,6,10
535,gcd,Python,1,1000,1,6,10
536,indices-of-substring,Python,1,1000,1,6,10
537,leaders,Python,1,1000,1,6,10
538,luhn,Python,1,1000,1,6,10
539,mastermind,Python,1,1000,1,6,10
540,middle-character,Python,1,1000,1,6,10
541,paired-digits,Python,1,1000,1,6,10
542,shopping-list,Python,1,1000,1,6,10
543,snow-day,Python,1,1000,1,6,10
544,solve-boolean,Python,1,1000,1,6,10
545,spin-words,Python,1,1000,1,6,10
546,square-digits,Python,1,1000,1,6,10
547,substitution-cipher,Python,1,1000,1,6,10
548,twitter,Python,1,1000,1,6,10
549,vector-distance,Python,1,1000,1,6,10
550,basement,C++,1,1000,1,7,10
551,bouncing-balls,C++,1,1000,1,7,10
552,bowling,C++,1,1000,1,7,10
553,camel-case,C++,1,1000,1,7,10
554,coin-sums,C++,1,1000,1,7,10
555,cut-vector,C++,1,1000,1,7,10
556,dice-game,C++,1,1000,1,7,10
557,find-pair,C++,1,1000,1,7,10
558,fizz-buzz,C++,1,1000,1,7,10
559,fuel-cost,C++,1,1000,1,7,10
560,gcd,C++,1,1000,1,7,10
561,indices-of-substring,C++,1,1000,1,7,10
562,leaders,C++,1,1000,1,7,10
563,luhn,C++,1,1000,1,7,10
564,mastermind,C++,1,1000,1,7,10
565,middle-character,C++,1,1000,1,7,10
566,paired-digits,C++,1,1000,1,7,10
567,shopping-list,C++,1,1000,1,7,10
568,snow-day,C++,1,1000,1,7,10
569,solve-boolean,C++,1,1000,1,7,10
570,spin-words,C++,1,1000,1,7,10
571,square-digits,C++,1,1000,1,7,10
572,substitution-cipher,C++,1,1000,1,7,10
573,twitter,C++,1,1000,1,7,10
574,vector-distance,C++,1,1000,1,7,10
575,basement,Python,1,1000,1,7,10
576,bouncing-balls,Python,1,1000,1,7,10
577,bowling,Python,1,1000,1,7,10
578,camel-case,Python,1,1000,1,7,10
579,coin-sums,Python,1,1000,1,7,10
580,cut-vector,Python,1,1000,1,7,10
581,dice-game,Python,1,1000,1,7,10
582,find-pair,Python,1,1000,1,7,10
583,fizz-buzz,Python,1,1000,1,7,10
584,fuel-cost,Python,1,1000,1,7,10
585,gcd,Python,1,1000,1,7,10
586,indices-of-substring,Python,1,1000,1,7,10
587,leaders,Python,1,1000,1,7,10
588,luhn,Python,1,1000,1,7,10
589,mastermind,Python,1,1000,1,7,10
590,middle-character,Python,1,1000,1,7,10
591,paired-digits,Python,1,1000,1,7,10
592,shopping-list,Python,1,1000,1,7,10
593,snow-day,Python,1,1000,1,7,10
594,solve-boolean,Python,1,1000,1,7,10
595,spin-words,Python,1,1000,1,7,10
596,square-digits,Python,1,1000,1,7,10
597,substitution-cipher,Python,1,1000,1,7,10
598,twitter,Python,1,1000,1,7,10
599,vector-distance,Python,1,1000,1,7,10
600,basement,C++,1,1000,1,8,10
601,bouncing-balls,C++,1,1000,1,8,10
602,bowling,C++,1,1000,1,8,10
603,camel-case,C++,1,1000,1,8,10
604,coin-sums,C++,1,1000,1,8,10
605,cut-vector,C++,1,1000,1,8,10
606,dice-game,C++,1,1000,1,8,10
607,find-pair,C++,1,1000,1,8,10
608,fizz-buzz,C++,1,1000,1,8,10
609,fuel-cost,C++,1,1000,1,8,10
610,gcd,C++,1,1000,1,8,10
611,indices-of-substring,C++,1,1000,1,8,10
612,leaders,C++,1,1000,1,8,10
613,luhn,C++,1,1000,1,8,10
614,mastermind,C++,1,1000,1,8,10
615,middle-character,C++,1,1000,1,8,10
616,paired-digits,C++,1,1000,1,8,10
617,shopping-list,C++,1,1000,1,8,10
618,snow-day,C++,1,1000,1,8,10
619,solve-boolean,C++,1,1000,1,8,10
620,spin-words,C++,1,1000,1,8,10
621,square-digits,C++,1,1000,1,8,10
622,substitution-cipher,C++,1,1000,1,8,10
623,twitter,C++,1,1000,1,8,10
624,vector-distance,C++,1,1000,1,8,10
625,basement,Python,1,1000,1,8,10
626,bouncing-balls,Python,1,1000,1,8,10
627,bowling,Python,1,1000,1,8,10
628,camel-case,Python,1,1000,1,8,10
629,coin-sums,Python,1,1000,1,8,10
630,cut-vector,Python,1,1000,1,8,10
631,dice-game,Python,1,1000,1,8,10
632,find-pair,Python,1,1000,1,8,10
633,fizz-buzz,Python,1,1000,1,8,10
634,fuel-cost,Python,1,1000,1,8,10
635,gcd,Python,1,1000,1,8,10
636,indices-of-substring,Python,1,1000,1,8,10
637,leaders,Python,1,1000,1,8,10
638,luhn,Python,1,1000,1,8,10
639,mastermind,Python,1,1000,1,8,10
640,middle-character,Python,1,1000,1,8,10
